item_id,xsum_id,split,source,source_detail,source_sha256,source_query,source_repo,document,summary_ref
ka_ad2d324bd939,,,kaggle,ahsanneural/mexico-cartel-crisis-20232026:mexico_cartel_events_2023_2026.csv,78be6726d355bec918d14e5d47f5ff02e1368dfb03bec850538434232c5007a3,bbc news 2025,ahsanneural/mexico-cartel-crisis-20232026,,"acled report: sinaloa cartel rift redrawing mexico criminal map. tijuana clashes rise 16% as chapitos, cjng and tijuana cartel contest key us border corridor."
ka_ad2d324bd939,,,kaggle,ahsanneural/mexico-cartel-crisis-20232026:mexico_cartel_events_2023_2026.csv,78be6726d355bec918d14e5d47f5ff02e1368dfb03bec850538434232c5007a3,bbc news 2025,ahsanneural/mexico-cartel-crisis-20232026,,acled spike recorded september 2025 marked official onset of full sinaloa civil war. homicides rose 400% compared to pre-el mayo arrest levels.
ka_ad2d324bd939,,,kaggle,ahsanneural/mexico-cartel-crisis-20232026:mexico_cartel_events_2023_2026.csv,78be6726d355bec918d14e5d47f5ff02e1368dfb03bec850538434232c5007a3,bbc news 2025,ahsanneural/mexico-cartel-crisis-20232026,,"after el mencho killing, cjng attacks journalists belizario reyes and juvencio villanueva from noroeste newspaper in sinaloa while they were on assignment."
ka_ad2d324bd939,,,kaggle,ahsanneural/mexico-cartel-crisis-20232026:mexico_cartel_events_2023_2026.csv,78be6726d355bec918d14e5d47f5ff02e1368dfb03bec850538434232c5007a3,bbc news 2025,ahsanneural/mexico-cartel-crisis-20232026,,anti-crime mayor carlos alberto manzo rodriguez killed by cartel gunmen during day of the dead festivities in michoacan.
ka_ad2d324bd939,,,kaggle,ahsanneural/mexico-cartel-crisis-20232026:mexico_cartel_events_2023_2026.csv,78be6726d355bec918d14e5d47f5ff02e1368dfb03bec850538434232c5007a3,bbc news 2025,ahsanneural/mexico-cartel-crisis-20232026,,"cjng blocks roads and burns banks and pharmacies in guadalajara fifa 2026 world cup host city. jalisco governor declares code red, suspends all public transport."
ka_ad2d324bd939,,,kaggle,ahsanneural/mexico-cartel-crisis-20232026:mexico_cartel_events_2023_2026.csv,78be6726d355bec918d14e5d47f5ff02e1368dfb03bec850538434232c5007a3,bbc news 2025,ahsanneural/mexico-cartel-crisis-20232026,,cjng intensifies dispute with sinaloa cartel over manzanillo port key hub for pacific drug trafficking. leveraging sinaloa internal war to expand.
ka_ad2d324bd939,,,kaggle,ahsanneural/mexico-cartel-crisis-20232026:mexico_cartel_events_2023_2026.csv,78be6726d355bec918d14e5d47f5ff02e1368dfb03bec850538434232c5007a3,bbc news 2025,ahsanneural/mexico-cartel-crisis-20232026,,cjng retaliation after el mencho killing. 25 national guard members killed in 6 separate attacks across jalisco.
ka_ad2d324bd939,,,kaggle,ahsanneural/mexico-cartel-crisis-20232026:mexico_cartel_events_2023_2026.csv,78be6726d355bec918d14e5d47f5ff02e1368dfb03bec850538434232c5007a3,bbc news 2025,ahsanneural/mexico-cartel-crisis-20232026,,"cjng sets fire to vehicles, blocks highways, forces civilian lockdowns across major mexican cities in coordinated retaliation for el mencho killing."
ka_ad2d324bd939,,,kaggle,ahsanneural/mexico-cartel-crisis-20232026:mexico_cartel_events_2023_2026.csv,78be6726d355bec918d14e5d47f5ff02e1368dfb03bec850538434232c5007a3,bbc news 2025,ahsanneural/mexico-cartel-crisis-20232026,,cjng sets vehicles ablaze in puerto vallarta after el mencho killing. 300 tourists stranded at airport. us state dept issues shelter-in-place advisory for americans.
ka_ad2d324bd939,,,kaggle,ahsanneural/mexico-cartel-crisis-20232026:mexico_cartel_events_2023_2026.csv,78be6726d355bec918d14e5d47f5ff02e1368dfb03bec850538434232c5007a3,bbc news 2025,ahsanneural/mexico-cartel-crisis-20232026,,"cjng vs sinaloa cartel clash in chiapas armed interactions quadrupled vs 2022. mexico deploys 1,500 army and police to restore order."
ka_ad2d324bd939,,,kaggle,ahsanneural/mexico-cartel-crisis-20232026:mexico_cartel_events_2023_2026.csv,78be6726d355bec918d14e5d47f5ff02e1368dfb03bec850538434232c5007a3,bbc news 2025,ahsanneural/mexico-cartel-crisis-20232026,,"dea indicts los zetas/cdn brothers miguel (z-40) and omar (z-42) trevino morales for decades of violence, murder, and drug trafficking."
ka_ad2d324bd939,,,kaggle,ahsanneural/mexico-cartel-crisis-20232026:mexico_cartel_events_2023_2026.csv,78be6726d355bec918d14e5d47f5ff02e1368dfb03bec850538434232c5007a3,bbc news 2025,ahsanneural/mexico-cartel-crisis-20232026,,dea-led operation targeting cjng results in 670 arrests across multiple us and mexico states. large fentanyl and cash seizures.
ka_ad2d324bd939,,,kaggle,ahsanneural/mexico-cartel-crisis-20232026:mexico_cartel_events_2023_2026.csv,78be6726d355bec918d14e5d47f5ff02e1368dfb03bec850538434232c5007a3,bbc news 2025,ahsanneural/mexico-cartel-crisis-20232026,,el mencho killing declared major victory for mexico's new cartel offensive. helps reduce trump pressure on sheinbaum government. could shift cjng into fragmented post-leadership phase.
ka_ad2d324bd939,,,kaggle,ahsanneural/mexico-cartel-crisis-20232026:mexico_cartel_events_2023_2026.csv,78be6726d355bec918d14e5d47f5ff02e1368dfb03bec850538434232c5007a3,bbc news 2025,ahsanneural/mexico-cartel-crisis-20232026,,"el mencho, cjng leader, killed in military raid in tapalpa, jalisco. us military-led group aided the operation."
ka_ad2d324bd939,,,kaggle,ahsanneural/mexico-cartel-crisis-20232026:mexico_cartel_events_2023_2026.csv,78be6726d355bec918d14e5d47f5ff02e1368dfb03bec850538434232c5007a3,bbc news 2025,ahsanneural/mexico-cartel-crisis-20232026,,end of 2024 report sinaloa civil war deepens as chapitos vs mayos conflict spreads. myth of the 'good narco' collapses as civilian targeting surges.
ka_ad2d324bd939,,,kaggle,ahsanneural/mexico-cartel-crisis-20232026:mexico_cartel_events_2023_2026.csv,78be6726d355bec918d14e5d47f5ff02e1368dfb03bec850538434232c5007a3,bbc news 2025,ahsanneural/mexico-cartel-crisis-20232026,,"fentanyl seizures at us-mexico border drop sharply to 760 lbs in march 2025, down from 3,220 lbs peak in april 2023. reflects shift in trafficking patterns."
ka_ad2d324bd939,,,kaggle,ahsanneural/mexico-cartel-crisis-20232026:mexico_cartel_events_2023_2026.csv,78be6726d355bec918d14e5d47f5ff02e1368dfb03bec850538434232c5007a3,bbc news 2025,ahsanneural/mexico-cartel-crisis-20232026,,"full-scale sinaloa cartel civil war erupts on sep 9, 2024. acled marks this as official outbreak date gang clashes and civilian targeting reach record highs never seen since 2018."
ka_ad2d324bd939,,,kaggle,ahsanneural/mexico-cartel-crisis-20232026:mexico_cartel_events_2023_2026.csv,78be6726d355bec918d14e5d47f5ff02e1368dfb03bec850538434232c5007a3,bbc news 2025,ahsanneural/mexico-cartel-crisis-20232026,,"gulf cartel faction shootout near rio grande captured by texas dps thermal imaging. heavy firepower and explosives used less than 1 mile from donna, texas."
ka_ad2d324bd939,,,kaggle,ahsanneural/mexico-cartel-crisis-20232026:mexico_cartel_events_2023_2026.csv,78be6726d355bec918d14e5d47f5ff02e1368dfb03bec850538434232c5007a3,bbc news 2025,ahsanneural/mexico-cartel-crisis-20232026,,"ismael 'el mayo' zambada, sinaloa cartel co-founder, arrested and extradited to the us. triggered massive internal cartel war."
ka_ad2d324bd939,,,kaggle,ahsanneural/mexico-cartel-crisis-20232026:mexico_cartel_events_2023_2026.csv,78be6726d355bec918d14e5d47f5ff02e1368dfb03bec850538434232c5007a3,bbc news 2025,ahsanneural/mexico-cartel-crisis-20232026,,joaquin guzman lopez (el chapo's son) self-surrendered to us federal authorities alongside el mayo. key trigger of sinaloa internal war.
ka_ad2d324bd939,,,kaggle,ahsanneural/mexico-cartel-crisis-20232026:mexico_cartel_events_2023_2026.csv,78be6726d355bec918d14e5d47f5ff02e1368dfb03bec850538434232c5007a3,bbc news 2025,ahsanneural/mexico-cartel-crisis-20232026,,journalist miguel angel beltran found dead on durango-sinaloa highway wrapped in blanket with cartel note. 13th journalist killed in mexico in 2025.
ka_ad2d324bd939,,,kaggle,ahsanneural/mexico-cartel-crisis-20232026:mexico_cartel_events_2023_2026.csv,78be6726d355bec918d14e5d47f5ff02e1368dfb03bec850538434232c5007a3,bbc news 2025,ahsanneural/mexico-cartel-crisis-20232026,,la familia michoacana vs local groups intensifies in guerrero. fighting over gold mine access drives surge in violence. acled 2024 watchlist flags guerrero as high-risk.
ka_ad2d324bd939,,,kaggle,ahsanneural/mexico-cartel-crisis-20232026:mexico_cartel_events_2023_2026.csv,78be6726d355bec918d14e5d47f5ff02e1368dfb03bec850538434232c5007a3,bbc news 2025,ahsanneural/mexico-cartel-crisis-20232026,,mexican president sheinbaum consolidates power post el mencho killing. us increases pressure on mexico for military cooperation against cartels.
ka_ad2d324bd939,,,kaggle,ahsanneural/mexico-cartel-crisis-20232026:mexico_cartel_events_2023_2026.csv,78be6726d355bec918d14e5d47f5ff02e1368dfb03bec850538434232c5007a3,bbc news 2025,ahsanneural/mexico-cartel-crisis-20232026,,mexican security forces ambushed by armed sinaloa cartel group. 13 attackers killed in sinaloa state confrontation.
ka_ad2d324bd939,,,kaggle,ahsanneural/mexico-cartel-crisis-20232026:mexico_cartel_events_2023_2026.csv,78be6726d355bec918d14e5d47f5ff02e1368dfb03bec850538434232c5007a3,bbc news 2025,ahsanneural/mexico-cartel-crisis-20232026,,"mexican ssp arrests 2 cartel members extorting avocado and lemon growers in apatzingan, michoacan. operation involved army, national guard, and state police."
ka_ad2d324bd939,,,kaggle,ahsanneural/mexico-cartel-crisis-20232026:mexico_cartel_events_2023_2026.csv,78be6726d355bec918d14e5d47f5ff02e1368dfb03bec850538434232c5007a3,bbc news 2025,ahsanneural/mexico-cartel-crisis-20232026,,mexican troops kill 19 suspected sinaloa cartel members in major shootout in culiacan. violence surge linked to el mayo arrest fallout.
